id,name,appearances,goals,asists,yellow_cards,second_yellow_cards,red_cards,minutes_played,goals_conceded,clean_sheets
4311,maarten-stekelenburg,8,-,,-,-,-,720',5,5
195488,paulo-gazzaniga,15,-,,1,-,-,1.380',21,4
13640,kelvin-davis,,,,,,,,,
139208,virgil-van-dijk,51,3,5,4,-,-,4.621',,
57423,florin-gardos,8,-,-,2,-,-,557',,
33829,jose-fonte,49,-,2,7,-,-,4.410',,
81789,maya-yoshida,26,2,3,2,-,-,1.819',,
91251,cuco-martina,15,-,-,1,-,-,1.021',,
163744,jack-stephens,16,-,-,4,-,-,1.320',,
226978,jordan-turnbull,43,6,4,15,-,-,3.776',,
40611,ryan-bertrand,11,-,-,2,-,-,751',,
250478,matt-targett,35,1,1,3,-,-,3.054',,
226968,sam-mcqueen,,,,,,,,,
112988,cedric-soares,26,1,3,4,-,-,1.855',,
227185,jason-mccarthy,39,1,4,4,-,-,3.310',,
77760,victor-wanyama,38,1,3,9,-,-,3.174',,
104223,jordy-clasie,46,3,5,7,-,1,3.706',,
66100,oriol-romeu,42,2,3,9,-,-,3.240',,
181579,james-ward-prowse,42,11,8,3,-,1,3.751',,
28973,steven-davis,33,1,1,1,-,-,2.338',,
226973,harrison-reed,42,-,2,7,-,-,2.904',,
123742,gaston-ramirez,6,1,-,1,-,-,161',,
200512,sadio-mane,51,23,5,8,-,-,3.938',,
36139,dusan-tadic,45,16,22,2,-,-,3.932',,
126737,juanmi,46,20,5,7,-,-,2.912',,
226965,lloyd-isgrove,24,-,3,3,-,-,1.610',,
53360,jay-rodriguez,33,7,2,3,-,-,1.667',,
129627,charlie-austin,38,7,1,4,-,-,1.822',,
29594,graziano-pelle,,,,,,,,,
37304,shane-long,19,2,1,1,-,-,622',,
227183,sam-gallagher,39,9,3,7,-,-,2.585',,
247647,ryan-seager,40,27,-,4,-,-,3.507',,
356569,olufela-olomola,25,2,1,-,-,-,1.113',,
71271,adrian,1,-,,-,-,-,90',-,1
51321,darren-randolph,-,-,,-,-,-,-,-,-
111428,raphael-spiegel,37,-,,3,-,-,3.330',47,13
258023,sam-howes,3,-,,-,-,-,270',4,1
37526,winston-reid,,,,,,,,,
48002,angelo-ogbonna,11,1,-,1,-,-,922',,
61592,james-tomkins,9,1,-,2,-,-,627',,
12691,james-collins,,,,,,,,,
314295,reece-oxford,31,3,1,9,-,-,2.814',,
264220,reece-burke,32,3,-,5,-,1,2.553',,
157907,doneil-henry,14,-,-,3,-,-,320',,
183281,leo-chambers,,,,,,,,,
339789,josh-pask,11,-,1,1,-,-,910',,
92571,aaron-cresswell,42,2,7,4,-,2,3.576',,
236953,sam-byram,19,-,-,5,-,-,1.346',,
186269,stephen-hendrie,20,-,-,4,-,-,1.251',,
242646,nathan-mavila,22,-,1,5,-,-,1.388',,
242652,lewis-page,35,1,5,7,-,-,2.811',,
34672,joey-obrien,5,-,-,2,-,-,409',,
258311,sam-westley,,,,,,,,,
291171,kyle-knoyle,52,1,6,7,-,-,4.370',,
345960,alex-pike,,,,,,,,,
66934,cheikhou-kouyate,31,1,1,3,-,-,2.314',,
27394,alex-song,2,-,-,-,-,-,180',,
242648,amos-nasha,1,-,-,-,-,-,69',,
292734,george-dobson,43,1,3,16,-,-,3.733',,
101213,pedro-obiang,,,,,,,,,
31835,mark-noble,23,2,-,1,-,-,924',,
183286,diego-poyet,,,,,,,,,
242606,josh-cullen,50,1,-,5,-,-,4.538',,
39883,morgan-amalfitano,,,,,,,,,
37647,dimitri-payet,46,16,13,7,-,-,3.730',,
135853,manuel-lanzini,46,7,4,7,-,-,2.925',,
3950,kevin-nolan,,,,,,,,,
391470,marcus-browne,5,1,-,-,-,-,168',,
229826,elliot-lee,40,4,4,3,-,-,2.659',,
15921,matt-jarvis,,,,,,,,,
234807,martin-samuelsen,21,2,2,4,-,-,773',,
345961,djair-parfitt,15,1,-,1,-,-,481',,
139503,enner-valencia,33,13,5,2,-,-,1.736',,
48066,andy-carroll,23,5,1,-,-,-,1.621',,
120610,diafra-sakho,1,-,-,-,-,-,44',,
120630,emmanuel-emenike,,,,,,,,,
104124,michail-antonio,47,13,11,8,1,-,3.921',,
26456,mauro-zarate,23,4,-,4,-,-,1.349',,
46831,modibo-maiga,,,,,,,,,
25742,nikica-jelavic,,,,,,,,,
242603,jordan-brown,10,1,-,1,-,-,440',,
33027,tim-krul,31,-,,1,-,-,2.790',64,6
99397,karl-darlow,8,-,,1,-,-,720',15,-
39037,rob-elliot,1,-,,-,-,-,90',3,-
226049,freddie-woodman,6,-,,-,-,-,540',13,1
203348,chancel-mbemba,47,2,-,5,-,1,4.221',,
170321,paul-dummett,3,-,-,2,-,-,193',,
183318,jamaal-lascelles,27,1,-,5,-,-,2.146',,
6150,fabricio-coloccini,,,,,,,,,
10642,mike-williamson,18,1,-,2,-,-,1.459',,
17273,steven-taylor,,,,,,,,,
179471,curtis-good,27,3,1,3,1,-,2.436',,
170929,massadio-haidara,21,1,2,5,-,1,1.149',,
60744,daryl-janmaat,12,-,2,2,-,-,711',,
183321,kevin-mbabu,31,-,1,6,-,-,1.743',,
250431,jamie-sterry,44,2,3,5,-,2,3.805',,
312533,callum-williams,,,,,,,,,
61644,jack-colback,46,4,1,11,1,-,3.740',,
33478,cheik-tiote,,,,,,,,,
30670,vurnon-anita,34,1,1,3,-,-,2.808',,
312553,liam-gibson,33,1,1,7,-,-,2.239',,
49499,georginio-wijnaldum,38,3,3,2,-,-,1.995',,
46001,moussa-sissoko,38,2,1,5,-,-,3.311',,
71292,jonjo-shelvey,26,2,3,6,1,-,2.166',,
158697,gael-bigirimana,18,-,3,2,-,-,882',,
256773,dan-barlaser,52,10,9,7,-,-,4.064',,
45509,siem-de-jong,30,1,1,-,-,-,1.483',,
51540,henri-saivet,,,,,,,,,
39909,sylvain-marveaux,,,,,,,,,
246968,ayoze-perez,25,3,5,-,-,1,865',,
92381,sammy-ameobi,,,,,,,,,
23825,yoan-gouffran,4,-,-,-,-,-,282',,
258188,rolando-aarons,1,-,-,-,-,-,8',,
184892,florian-thauvin,27,5,3,3,-,1,1.568',,
43261,gabriel-obertan,16,4,3,-,-,1,1.182',,
76560,haris-vuckic,31,12,5,2,-,-,1.675',,
51152,aleksandar-mitrovic,46,43,7,10,-,-,3.961',,
75287,seydou-doumbia,,,,,,,,,
33952,papiss-cisse,14,2,3,1,-,-,646',,
61637,emmanuel-riviere,,,,,,,,,
250426,adam-armstrong,28,2,3,1,-,-,1.758',,
251664,ivan-toney,37,14,6,8,-,-,3.120',,
16911,kasper-schmeichel,53,-,,1,-,-,4.770',79,10
67283,ben-hamer,23,-,,-,-,-,2.100',30,9
3357,mark-schwarzer,,,,,,,,,
257293,jonny-maddison,,,,,,,,,
2998,robert-huth,,,,,,,,,
214056,daniel-amartey,40,1,-,4,-,-,3.141',,
50477,yohan-benalouane,9,-,-,4,-,-,485',,
10003,wes-morgan,,,,,,,,,
128906,liam-moore,23,2,1,2,-,-,1.923',,
16947,marcin-wasilewski,,,,,,,,,
6636,christian-fuchs,27,3,-,3,-,2,1.979',,
316125,ben-chilwell,13,3,1,-,-,-,841',,
3296,paul-konchesky,,,,,,,,,
37442,danny-simpson,4,-,-,3,-,-,322',,
55687,ritchie-de-laet,42,1,2,11,1,-,3.588',,
225083,ngolo-kante,42,2,5,3,-,-,2.716',,
19041,gokhan-inler,34,1,1,3,-,-,1.976',,
73491,danny-drinkwater,34,1,1,8,-,-,2.875',,
56872,andy-king,15,1,2,2,1,-,822',,
73522,matty-james,33,1,3,1,-,-,2.784',,
33065,dean-hammond,,,,,,,,,
61560,marc-albrighton,31,3,3,5,-,-,1.834',,
157506,jeffrey-schlupp,37,4,2,3,-,-,2.192',,
292417,demarai-gray,39,6,5,3,-,-,2.640',,
229970,tom-lawrence,39,11,5,10,1,1,3.297',,
261738,joseph-dodoo,39,8,2,5,-,-,2.863',,
383152,andre-olukanmi,,,,,,,,,
171424,riyad-mahrez,47,24,9,1,-,-,2.931',,
37011,nathan-dyer,,,,,,,,,
224673,harry-panayiotou,19,1,-,1,-,-,884',,
197838,jamie-vardy,33,17,2,3,-,-,2.239',,
79642,shinji-okazaki,35,2,1,-,-,-,1.227',,
54890,leonardo-ulloa,,,,,,,,,
46580,andrej-kramaric,35,8,11,2,-,-,2.937',,
251914,jacob-blyth,27,3,-,1,-,-,967',,
128899,jack-butland,15,-,,1,-,-,1.304',18,3
138335,jakob-haugaard,31,-,,3,-,-,2.850',51,3
